Period,Date,Income,Outflows,Begin Total Savings,Amount To Save,End Total Savings,Savings Value Change,Savings Return,Begin Investment Portfolio,Investment Return,Amount To Invest,End Investment Portfolio,Portfolio Value Change,Investment Return Rate,Cumulative Returns,Drawdown,Begin Total Assets,End Total Assets,Total Assets Value Change,Total Assets Return Rate
114,06/12/2033,2340.0,1260.19,72260.92,1079.81,72417.33,156.42,0.0,265697.62,-5637.94,1079.81,261139.5,-4558.12,-0.02,113696.73,-0.07,337958.54,333556.83,-4401.71,-0.01
115,07/12/2033,2340.0,1260.19,72417.33,1079.81,72573.75,156.42,0.0,261139.5,5552.64,1079.81,267771.95,6632.45,0.03,119249.37,-0.02,333556.83,340345.7,6788.87,0.02
116,08/11/2033,2340.0,1260.19,72573.75,1079.81,72730.17,156.42,0.0,267771.95,5851.37,1079.81,274703.14,6931.19,0.03,125100.74,0.02,340345.7,347433.3,7087.6,0.02
117,09/10/2033,2340.0,1260.19,72730.17,1079.81,72886.58,156.42,0.0,274703.14,-11279.74,1079.81,264503.21,-10199.93,-0.04,113821.0,-0.09,347433.3,337389.79,-10043.51,-0.03
118,10/10/2033,2340.0,1260.19,72886.58,1079.81,73043.0,156.42,0.0,264503.21,6639.71,1079.81,272222.73,7719.52,0.03,120460.71,-0.04,337389.79,345265.73,7875.94,0.02
119,11/09/2033,2340.0,1260.19,73043.0,1079.81,73199.42,156.42,0.0,272222.73,-3022.42,1079.81,270280.12,-1942.61,-0.01,117438.28,-0.06,345265.73,343479.54,-1786.19,-0.01
120,12/09/2033,4590.0,1260.19,73199.42,3329.81,73355.83,156.42,0.0,270280.12,15500.54,3329.81,289110.47,18830.35,0.07,132938.82,0.06,343479.54,362466.3,18986.77,0.06
121,01/08/2034,2340.0,1260.19,73355.83,1079.81,73512.25,156.42,0.0,289110.47,3990.82,1079.81,294181.1,5070.63,0.02,136929.64,0.03,362466.3,367693.35,5227.05,0.01
122,02/07/2034,2340.0,1279.09,73512.25,1060.91,73668.67,156.42,0.0,294181.1,19806.93,1060.91,315048.95,20867.84,0.07,156736.57,0.14,367693.35,388717.61,21024.26,0.06
123,03/09/2034,2340.0,1279.09,73668.67,1060.91,73825.08,156.42,0.0,315048.95,-2294.99,1060.91,313814.87,-1234.07,-0.0,154441.59,-0.01,388717.61,387639.96,-1077.66,-0.0
124,04/08/2034,2340.0,1279.09,73825.08,1060.91,73981.5,156.42,0.0,313814.87,-455.05,1060.91,314420.73,605.86,0.0,153986.54,-0.02,387639.96,388402.23,762.28,0.0
125,05/08/2034,2340.0,1279.09,73981.5,1060.91,74137.92,156.42,0.0,314420.73,5881.64,1060.91,321363.28,6942.55,0.02,159868.17,0.02,388402.23,395501.19,7098.96,0.02
126,06/07/2034,2340.0,1279.09,74137.92,1060.91,74294.33,156.42,0.0,321363.28,14344.21,1060.91,336768.4,15405.12,0.05,174212.38,0.09,395501.19,411062.73,15561.54,0.04
127,07/07/2034,2340.0,1279.09,74294.33,1060.91,74450.75,156.42,0.0,336768.4,9372.39,1060.91,347201.7,10433.3,0.03,183584.77,0.05,411062.73,421652.45,10589.72,0.03
128,08/06/2034,2340.0,1279.09,74450.75,1060.91,74607.17,156.42,0.0,347201.7,-11761.16,1060.91,336501.45,-10700.25,-0.03,171823.61,-0.06,421652.45,411108.62,-10543.83,-0.03
129,09/05/2034,2340.0,1279.09,74607.17,1060.91,74763.58,156.42,0.0,336501.45,4945.67,1060.91,342508.03,6006.58,0.02,176769.28,-0.04,411108.62,417271.61,6162.99,0.01
130,10/05/2034,2340.0,1279.09,74763.58,1060.91,74920.0,156.42,0.0,342508.03,3147.02,1060.91,346715.96,4207.93,0.01,179916.3,-0.02,417271.61,421635.96,4364.35,0.01
131,11/04/2034,2340.0,1279.09,74920.0,1060.91,75076.42,156.42,0.0,346715.96,-2180.18,1060.91,345596.69,-1119.27,-0.0,177736.12,-0.03,421635.96,420673.11,-962.85,-0.0
132,12/04/2034,4590.0,1279.09,75076.42,3310.91,75232.83,156.42,0.0,345596.69,-4768.96,3310.91,344138.65,-1458.05,-0.0,172967.16,-0.06,420673.11,419371.48,-1301.63,-0.0
133,01/03/2035,2340.0,1279.09,75232.83,1060.91,75389.25,156.42,0.0,344138.65,23522.76,1060.91,368722.31,24583.67,0.07,196489.92,0.07,419371.48,444111.56,24740.08,0.06
134,02/02/2035,2340.0,1298.28,75389.25,1041.72,75545.67,156.42,0.0,368722.31,-1829.46,1041.72,367934.58,-787.73,-0.0,194660.46,-0.01,444111.56,443480.25,-631.32,-0.0
135,03/04/2035,2340.0,1298.28,75545.67,1041.72,75702.08,156.42,0.0,367934.58,-7573.08,1041.72,361403.23,-6531.35,-0.02,187087.39,-0.05,443480.25,437105.31,-6374.94,-0.01
136,04/03/2035,2340.0,1298.28,75702.08,1041.72,75858.5,156.42,0.0,361403.23,10940.75,1041.72,373385.7,11982.47,0.03,198028.13,0.01,437105.31,449244.2,12138.89,0.03
137,05/03/2035,2340.0,1298.28,75858.5,1041.72,76014.92,156.42,0.0,373385.7,4818.4,1041.72,379245.83,5860.13,0.02,202846.54,0.02,449244.2,455260.74,6016.54,0.01
138,06/02/2035,2340.0,1298.28,76014.92,1041.72,76171.33,156.42,0.0,379245.83,2209.33,1041.72,382496.88,3251.05,0.01,205055.86,0.01,455260.74,458668.21,3407.47,0.01
139,07/02/2035,2340.0,1298.28,76171.33,1041.72,76327.75,156.42,0.0,382496.88,13470.56,1041.72,397009.16,14512.28,0.04,218526.42,0.07,458668.21,473336.91,14668.7,0.03
140,08/01/2035,2340.0,1298.28,76327.75,1041.72,76484.17,156.42,0.0,397009.16,9997.13,1041.72,408048.01,11038.85,0.03,228523.55,0.05,473336.91,484532.18,11195.27,0.02
141,08/31/2035,2340.0,1298.28,76484.17,1041.72,76640.58,156.42,0.0,408048.01,8505.94,1041.72,417595.67,9547.66,0.02,237029.49,0.04,484532.18,494236.26,9704.08,0.02
142,09/30/2035,2340.0,1298.28,76640.58,1041.72,76797.0,156.42,0.0,417595.67,17325.76,1041.72,435963.16,18367.49,0.04,254355.25,0.07,494236.26,512760.16,18523.9,0.04
143,10/30/2035,2340.0,1298.28,76797.0,1041.72,76953.42,156.42,0.0,435963.16,7913.47,1041.72,444918.36,8955.2,0.02,262268.72,0.03,512760.16,521871.77,9111.61,0.02
144,11/29/2035,4590.0,1298.28,76953.42,3291.72,77109.83,156.42,0.0,444918.36,-5663.75,3291.72,442546.33,-2372.03,-0.01,256604.97,-0.02,521871.77,519656.16,-2215.61,-0.0
145,12/29/2035,2340.0,1298.28,77109.83,1041.72,77266.25,156.42,0.0,442546.33,-1769.24,1041.72,441818.81,-727.52,-0.0,254835.72,-0.03,519656.16,519085.06,-571.1,-0.0
146,01/28/2036,2340.0,1317.75,77266.25,1022.25,77422.67,156.42,0.0,441818.81,-4170.6,1022.25,438670.46,-3148.35,-0.01,250665.13,-0.04,519085.06,516093.13,-2991.93,-0.01
147,02/27/2036,2340.0,1317.75,77422.67,1022.25,77579.08,156.42,0.0,438670.46,6850.74,1022.25,446543.45,7872.99,0.02,257515.87,-0.02,516093.13,524122.54,8029.41,0.02
148,03/28/2036,2340.0,1317.75,77579.08,1022.25,77735.5,156.42,0.0,446543.45,-12744.55,1022.25,434821.15,-11722.3,-0.03,244771.32,-0.07,524122.54,512556.65,-11565.89,-0.02
149,04/27/2036,2340.0,1317.75,77735.5,1022.25,77891.92,156.42,0.0,434821.15,-23659.24,1022.25,412184.16,-22636.99,-0.05,221112.07,-0.16,512556.65,490076.07,-22480.58,-0.04
150,05/27/2036,2340.0,1317.75,77891.92,1022.25,78048.33,156.42,0.0,412184.16,4718.82,1022.25,417925.23,5741.07,0.01,225830.89,-0.14,490076.07,495973.56,5897.49,0.01
151,06/26/2036,2340.0,1317.75,78048.33,1022.25,78204.75,156.42,0.0,417925.23,-15632.93,1022.25,403314.55,-14610.68,-0.03,210197.96,-0.2,495973.56,481519.3,-14454.27,-0.03
152,07/26/2036,2340.0,1317.75,78204.75,1022.25,78361.17,156.42,0.0,403314.55,-23598.36,1022.25,380738.43,-22576.11,-0.06,186599.6,-0.29,481519.3,459099.6,-22419.7,-0.05
153,08/25/2036,2340.0,1317.75,78361.17,1022.25,78517.58,156.42,0.0,380738.43,8082.11,1022.25,389842.79,9104.36,0.02,194681.71,-0.26,459099.6,468360.38,9260.78,0.02
